config,embedding,clustering,cv_mean,cv_std,retention_mean,retention_std,num_topics,ami_vs_category_mean,ami_vs_hdbscan_mean,chosen_k_mean
LDA (Gensim),N/A (bag-of-words),LDA,0.42707946341219155,0.013285824172261373,1.0,0.0,15,,,
BERTopic + HDBSCAN (baseline),Genérico (MiniLM),HDBSCAN (default),0.5108495784897714,0.006467690086640702,0.666,0.03558089374931438,14,0.35711154297512343,,
BERTopic + UMAP+K-Means (proposta),Genérico (MiniLM),UMAP + K-Means (cotovelo),0.5003668787434329,0.005590011947111273,1.0,0.0,7,0.39379598345841926,0.6088280789250065,7.0
BERTopic + HDBSCAN (baseline),Domínio (SciBERT),HDBSCAN (default),0.4400365989799326,0.003145759645492539,0.51,0.04245782220824177,12,0.2179010171232749,,
BERTopic + UMAP+K-Means (proposta),Domínio (SciBERT),UMAP + K-Means (cotovelo),0.45998724914063366,0.006864071593330791,1.0,0.0,9,0.2665238752990385,0.5256729418792782,9.0
